Server,SessionID,Type,Bot,Delay,Chan,CPU,Addr,Site,Vendor,Sport,Visitor,Home,Packets,SQL Defers,Meta,Packet Errors,BufferLen,Protocol Errors,Connected Time,Last Update
BSEast,636788123969376808,BOT,0,0,0,0.000 %,Internal,*Internal Test BOT,Sportzcast,Football,VISITOR ,HOME    ,34417,0,0,0,0,0,2018-11-26 06:59:56,2018-11-26 16:33:53
BSEast,636788124053910782,BOT,24,0,0,0.000 %,Internal,EXPIRED BOT,Compulink,Drag Racing,        ,        ,52257,0,0,0,1,0,2018-11-26 07:00:05,2018-11-26 07:00:05
BSEast,636788124055942110,BOT,20,0,0,0.000 %,Internal,*Internal Test BOT,Sportzcast SBDATA,Football,SC      ,FLORIDA ,34405,0,0,0,0,0,2018-11-26 07:00:05,2018-11-26 16:33:52
BSEast,636788124060004767,BOT,856,0,0,0.000 %,199.96.190.190:4434,Jefferson County Stadium,Fairplay,Football,BRUINS  ,REBELS  ,344270,0,0,0,0,0,2018-11-26 07:00:06,2018-11-26 16:33:53
BSEast,636788124064536191,BOT,10257,0,0,0.000 %,69.75.238.100:63643,The Webb Schools,Sportzcast SBDATA,Basketball,        ,        ,17211,0,0,0,0,0,2018-11-26 07:00:06,2018-11-26 16:33:52
BSEast,636788124072817758,BOT,10395,0,0,0.000 %,216.56.7.2:58266,Wisconsin Lutheran High School,Sportzcast SBDATA,Basketball,VISITOR ,HOME    ,17208,0,0,0,0,0,2018-11-26 07:00:07,2018-11-26 16:33:52
BSEast,636788124073911550,BOT,10674,0,0,0.000 %,198.111.71.16:44290,Grand Blanc,Sportzcast SBDATA,Basketball,VISITOR ,HOME    ,17207,0,0,0,0,0,2018-11-26 07:00:07,2018-11-26 16:33:51
BSEast,636788124086880798,BOT,10013,0,0,0.000 %,169.204.238.218:50592,Port Angeles High School,Sportzcast SBDATA,Volleyball,        ,        ,17210,0,0,0,0,0,2018-11-26 07:00:08,2018-11-26 16:33:51
BSEast,636788124194853695,BOT,2510,0,0,0.000 %,198.62.98.61:52083,Trine University,Sportzcast SBDATA,Hockey,        ,        ,17206,0,0,0,0,0,2018-11-26 07:00:19,2018-11-26 16:33:52
BSEast,636788302843669630,BOT,11039,0,0,0.000 %,38.126.161.130:55212,0,Sportzcast SBDATA,Hockey,        ,        ,8297,0,0,0,0,0,2018-11-26 11:58:04,2018-11-26 16:33:51
BSEast,636788366580120124,EDITOR,,0,0,0.000 %,71.43.254.122:28827,*Admin Editor,Sportzcast,,        ,        ,684,0,0,0,0,0,2018-11-26 13:44:18,2018-11-26 16:33:50
BSEast,636788366580120125,CONSOLE,,0,0,0.000 %,71.43.254.122:42864,*Admin Console,Sportzcast,,        ,        ,2536,0,0,0,0,0,2018-11-26 13:44:18,2018-11-26 16:33:49
BSEast,636788380240934658,BOT,11292,0,0,0.000 %,65.14.72.221:5748,TBD,Sportzcast SBDATA,Basketball,        ,        ,9013,0,0,0,0,0,2018-11-26 14:07:04,2018-11-26 16:33:53
BSEast,636788398612557122,BOT,769,0,0,0.000 %,64.56.85.35:58090,UCF Arena,Daktronics,Basketball,        ,        ,90353,0,0,0,0,0,2018-11-26 14:37:41,2018-11-26 16:33:53
BSEast,636788440202701794,EDITOR,,0,0,0.000 %,71.43.254.122:1048,*Admin Editor,Sportzcast,,        ,        ,181,0,0,0,0,0,2018-11-26 15:47:00,2018-11-26 16:33:48
BSEast,636788448948193859,CONSOLE,,0,0,0.000 %,71.43.254.122:45787,*Admin Console,Sportzcast,,        ,        ,484,0,0,0,0,0,2018-11-26 16:01:34,2018-11-26 16:33:53
BSEast,636788449701972802,BOT,1045,0,0,0.000 %,198.190.212.150:46527,Bellarmine University,Nevco,Basketball,        ,        ,929,0,0,0,0,0,2018-11-26 16:02:50,2018-11-26 16:33:52
BSEast,636788451564544323,CONSOLE,,0,0,0.000 %,24.31.224.90:63257,*Admin Console,Sportzcast,,        ,        ,418,0,0,0,0,0,2018-11-26 16:05:56,2018-11-26 16:33:49
